artifact_id,reader_label,geometry,preset,elements,volume_fraction,states,source_optimizer,source_iterations,source_compliance,source_grayness,final_penal,final_filter_radius,final_projection_beta,final_move_limit,boundary_load_summary,selected_floor,selected_iters,policy_decision
C64_MF,Medium cantilever,cantilever,cantilever_gpu_medium,64000,0.3000000000000549,best/final,OC update with density filter and Heaviside projection,120,2.864795822186235,1.0269837902290698e-08,4.5,1.2,32.0,0.05,left face fixed; downward tip point load,1e-12,17,keep
C216_MF,216k cantilever,cantilever,cantilever_gpu_large,216000,0.2999992965200491,best/final,OC update with density filter and Heaviside projection,120,2.172196340570937,9.271530706871852e-06,4.5,1.2,32.0,0.05,left face fixed; downward tip point load,1e-12,27,keep
C512_MF,Large cantilever,cantilever,cantilever_gpu_xlarge,512000,0.2999998982139999,best/final,OC update with density filter and Heaviside projection,120,1.8253608282519145,3.084230422783515e-05,4.5,1.2,32.0,0.05,left face fixed; downward tip point load,1e-12,35,keep
B500_MF,Large bridge,bridge,bridge_gpu_500k,514500,0.3000001402043609,best/final,OC update with density filter and Heaviside projection,120,1.2362017495543793,0.0009429434222344257,4.5,1.2,32.0,0.05,pinned/roller lower supports; distributed top load,1e-02,262-263,raise
Brk500_MF,Large bracket,bracket,bracket_gpu_500k,512000,0.2999828179564874,best/final,OC update with density filter and Heaviside projection,120,0.8204435535351766,1.5845845651073162e-06,4.5,1.2,32.0,0.05,top face fixed; oblique point load,1e-12,35,keep
M500_MF,Large MBB beam,MBB,mbb_gpu_xlarge,514500,0.4998372022960463,best/final,OC update with density filter and Heaviside projection,120,2.8706949557625716,0.006602518227612049,4.5,1.2,32.0,0.05,left edge pin-x and right lower pin-y; top-left point load,1e-12,247,keep
T500_MF,Large torsion,torsion,torsion_gpu_500k,499125,0.2499999980862827,best/final,OC update with density filter and Heaviside projection,120,2.035647847498274,1.0011330845967211e-05,4.5,1.2,32.0,0.05,left face fixed; opposed end point loads,1e-12,87,keep
Col500_MF,Large column,column,column_gpu_500k,500000,0.1999999704251789,best/final,OC update with density filter and Heaviside projection,120,0.24853077485452016,3.988194390075361e-05,4.5,1.2,32.0,0.05,bottom fixed; distributed top load,1e-12,158,keep
