preset,seed,solid_probability,baseline_rho_min,raised_rho_min,raised_rho_mins,recommended_rho_min,attempted_rho_mins,n_floor_attempts,penal,probe_iters,restart,maxiter,tol,solid_count,solid_fraction,n_components,largest_component,largest_fraction_of_solid,support_to_load_patch_components,probe_r50,probe_r100,probe_r100_over_r50,probe_setup_time_s,probe_solve_time_s,probe_gpu_used_mb_after_solve,probe_cupy_pool_used_mb_after_solve,trigger,predicted_raise_floor,post_solve_fallback_triggered,detector_false_keep,solve_converged,solver_reported_converged,solve_iters,solve_final_rel_residual,selected_setup_time_s,selected_solve_time_s,selected_gpu_used_mb_after_solve,selected_cupy_pool_used_mb_after_solve,selected_cupy_pool_total_mb_after_solve,failed_ladder_setup_time_s,failed_ladder_solve_time_s,recorded_policy_time_s
bridge_gpu_medium,41,0.1,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,4043,0.09982716049382716,2893,11,0.002720751916893396,0,0.5061224951962364,0.3964686226877379,0.7833451910372351,0.30652050000207964,20.195471799997904,2671.24736,597.700096,high_r50,1,0,0,1,1,199,6.257958595444018e-07,0.021732900000642985,33.85752240000147,2847.408128,597.700096,1147.849216,0.0,0.0,54.3812476000021
bridge_gpu_medium,41,0.15,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,6050,0.14938271604938272,3498,19,0.003140495867768595,0,0.5153780553217743,0.5142388870479111,0.9977896453640194,0.02293400000053225,19.221685099997558,3023.568896,597.700096,high_r50,1,0,0,1,1,167,7.891985659969105e-07,0.018342600000323728,30.35348890000023,3023.568896,597.700096,1322.01728,0.0,0.0,49.61645059999864
bridge_gpu_medium,41,0.2,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,8054,0.1988641975308642,3613,54,0.006704742984852247,0,0.3448854283145463,0.3447506092200178,0.9996090901979032,0.045478000000002794,26.247744699998293,3023.568896,597.700096,high_r50,1,0,0,1,1,117,7.427056494561632e-07,0.018296800000825897,20.063672100004624,3023.568896,597.700096,1322.01728,0.0,0.0,46.375191600003745
bridge_gpu_medium,41,0.25,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,10116,0.24977777777777777,3336,125,0.012356662712534598,0,0.25337131564435367,0.19019034324676973,0.7506388115130272,0.02510650000476744,20.11038720000215,3023.568896,597.700096,high_r50,1,0,0,1,1,84,6.989721471161514e-07,0.04144609999639215,15.54722710000351,3023.568896,597.700096,1322.01728,0.0,0.0,35.72416690000682
bridge_gpu_medium,41,0.3,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,12130,0.29950617283950615,2677,584,0.04814509480626546,0,0.17837418918203232,0.1756618548306628,0.9847941321342093,0.021921799998381175,19.931242600003316,3023.568896,597.700096,high_r50,1,0,0,1,1,65,5.720854908494121e-07,0.03948599999421276,11.174141299998155,3023.568896,597.700096,1322.01728,0.0,0.0,31.166791699994064
bridge_gpu_medium,41,0.35,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,14110,0.3483950617283951,1924,5582,0.39560595322466335,0,0.17172881445162086,0.17116536665375764,0.9967189676370709,0.019749400002183393,18.179223399994953,3023.568896,597.700096,high_r50,1,0,0,1,1,55,8.645184911393663e-07,0.01867599999968661,8.667563000002701,3023.568896,597.700096,1322.01728,0.0,0.0,26.885211799999524
bridge_gpu_medium,43,0.1,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,4070,0.10049382716049382,2926,10,0.002457002457002457,0,0.5031003242525475,0.39864528867694166,0.7923773240838318,0.01663389999885112,18.380654299995513,3023.568896,597.700096,high_r50,1,0,0,1,1,200,6.445653869793509e-07,0.018725400004768744,33.18712370000139,3023.568896,597.700096,1322.01728,0.0,0.0,51.603137300000526
bridge_gpu_medium,43,0.15,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,6076,0.15002469135802468,3547,14,0.002304147465437788,0,0.46869163288522325,0.46566200138648817,0.9935359812589678,0.021467300000949763,19.327152300000307,3023.568896,597.700096,high_r50,1,0,0,1,1,176,6.641922615501835e-07,0.01842909999686526,28.638057299998763,3023.568896,597.700096,1322.01728,0.0,0.0,48.005105999996886
bridge_gpu_medium,43,0.2,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,8171,0.2017530864197531,3692,33,0.004038673356994248,0,0.3244376635503472,0.3243606266336831,0.9997625524859811,0.026915800001006573,22.916274399998656,3023.568896,597.700096,high_r50,1,0,0,1,1,123,5.293769304590367e-07,0.02000219999899855,21.187683600001037,3023.568896,597.700096,1322.01728,0.0,0.0,44.1508759999997
bridge_gpu_medium,43,0.25,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,10229,0.2525679012345679,3350,102,0.009971649232574055,0,0.2392480071747967,0.2129196854651703,0.8899538515679644,0.017697700001008343,20.688768400003028,3023.568896,597.700096,high_r50,1,0,0,1,1,88,4.1453491196080426e-07,0.020170799994957633,15.29935000000114,3023.568896,597.700096,1322.01728,0.0,0.0,36.025986900000134
