preset,seed,solid_probability,baseline_rho_min,raised_rho_min,raised_rho_mins,recommended_rho_min,attempted_rho_mins,n_floor_attempts,penal,probe_iters,restart,maxiter,tol,solid_count,solid_fraction,n_components,largest_component,largest_fraction_of_solid,support_to_load_patch_components,probe_r50,probe_r100,probe_r100_over_r50,probe_setup_time_s,probe_solve_time_s,probe_gpu_used_mb_after_solve,probe_cupy_pool_used_mb_after_solve,trigger,predicted_raise_floor,post_solve_fallback_triggered,detector_false_keep,solve_converged,solver_reported_converged,solve_iters,solve_final_rel_residual,selected_setup_time_s,selected_solve_time_s,selected_gpu_used_mb_after_solve,selected_cupy_pool_used_mb_after_solve,selected_cupy_pool_total_mb_after_solve,failed_ladder_setup_time_s,failed_ladder_solve_time_s,recorded_policy_time_s
cantilever_gpu_medium,43,0.1,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,6422,0.10034375,4521,10,0.0015571473061351605,0,0.09546014453442823,0.09510687299436164,0.9962992771298478,0.024875800001609605,20.769268200005172,3862.429696,991.028736,high_r50,1,0,0,1,1,122,9.114414251569799e-07,0.027208599996811245,23.790656600001967,3862.429696,991.028736,2177.98656,0.0,0.0,44.61200920000556
cantilever_gpu_medium,43,0.12,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,7691,0.120171875,4974,14,0.0018203094526069432,0,0.17374579194519577,0.14731896960395147,0.8478994970446245,0.021558200001891237,19.879763600001752,3862.429696,991.028736,high_r50,1,0,0,1,1,119,6.047865861234129e-07,0.02029449999827193,19.555641700004344,3862.429696,991.028736,2177.98656,0.0,0.0,39.47725800000626
cantilever_gpu_medium,43,0.15,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,9568,0.1495,5452,21,0.0021948160535117055,0,0.17228793458844685,0.17225899505861514,0.9998320281109595,0.02137840000068536,19.283063900002162,3862.429696,991.028736,high_r50,1,0,0,1,1,104,6.091975575534533e-07,0.02195219999703113,18.138434100001177,3862.429696,991.028736,2177.98656,0.0,0.0,37.464828600001056
cantilever_gpu_medium,43,0.18,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,11505,0.179765625,5664,27,0.002346805736636245,0,0.21301678202026447,0.21301255871150004,0.9999801738214033,0.027619000000413507,23.72480660000292,3862.429696,991.028736,high_r50,1,0,0,1,1,80,7.338768459751414e-07,0.032906000000366475,17.65397899999516,3862.429696,991.028736,2177.98656,0.0,0.0,41.43931059999886
cantilever_gpu_medium,43,0.2,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,12785,0.199765625,5648,50,0.003910833007430583,0,0.19046569424810872,0.19043993254263777,0.9998647435929465,0.023530400001618546,20.039953200001037,3862.429696,991.028736,high_r50,1,0,0,1,1,69,7.980366428313861e-07,0.02087770000071032,12.065468799999508,3862.429696,991.028736,2177.98656,0.0,0.0,32.14983010000287
cantilever_gpu_medium,43,0.25,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,15949,0.249203125,5105,79,0.004953288607436203,0,0.05080271209132141,0.0012629340938954178,0.02485958016621644,0.026334599999245256,21.853457399993204,3862.429696,991.028736,high_r50,1,0,0,1,1,47,7.960449437441982e-07,0.028158799999800976,8.993900900000881,3862.429696,991.028736,2177.98656,0.0,0.0,30.90185169999313
cantilever_gpu_medium,43,0.3,1e-12,0.001,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,19072,0.298,4148,575,0.030148909395973155,0,3.922454888618671e-07,3.922454888618671e-07,1.0,0.026628499996149912,7.815644800000882,3862.429696,991.028736,keep,0,0,0,1,1,38,3.9224548929400305e-07,0.026535699995292816,7.950094399995578,3862.429696,991.028736,2177.98656,0.0,0.0,15.818903399987903
cantilever_gpu_medium,43,0.35,1e-12,0.001,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,22217,0.347140625,2884,13979,0.6292028626727281,0,3.97651293698269e-07,3.97651293698269e-07,1.0,0.026163599999563303,6.475775900005829,3862.429696,991.028736,keep,0,0,0,1,1,30,3.9765129163350625e-07,0.0209333999955561,5.562291900001583,3862.429696,991.028736,2177.98656,0.0,0.0,12.08516480000253
cantilever_gpu_medium,47,0.08,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,5142,0.08034375,3916,10,0.0019447685725398677,0,0.05837653208307964,0.02287724096989837,0.391891058847761,0.023562499998661224,18.80282730000181,3862.429696,991.028736,high_r50,1,0,0,1,1,122,9.135763148031472e-07,0.02330919999803882,20.00111150000157,3862.429696,991.028736,2177.98656,0.0,0.0,38.85081050000008
cantilever_gpu_medium,47,0.1,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,6406,0.10009375,4492,13,0.0020293474867311896,0,0.09598147840285892,0.04194563748474616,0.4370180391334414,0.021853999998711515,19.089463599993906,3862.429696,991.028736,high_r50,1,0,0,1,1,123,6.572343236661553e-07,0.027781899996625725,21.047525299996778,3862.429696,991.028736,2177.98656,0.0,0.0,40.18662479998602
cantilever_gpu_medium,47,0.12,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,7636,0.1193125,4972,15,0.001964379256155055,0,0.20675511776692504,0.09871432537541538,0.4774456199275125,0.021208199999819044,19.36117170000216,3862.429696,991.028736,high_r50,1,0,0,1,1,118,8.747577385470111e-07,0.02058029999898281,19.67673630000354,3862.429696,991.028736,2177.98656,0.0,0.0,39.0796965000045
