preset,seed,solid_probability,baseline_rho_min,raised_rho_min,raised_rho_mins,recommended_rho_min,attempted_rho_mins,n_floor_attempts,penal,probe_iters,restart,maxiter,tol,solid_count,solid_fraction,n_components,largest_component,largest_fraction_of_solid,support_to_load_patch_components,probe_r50,probe_r100,probe_r100_over_r50,trigger,predicted_raise_floor,solve_converged,solve_iters,solve_final_rel_residual
bridge_gpu_medium,23,0.1,1e-12,0.001,1e-03;1e-02,0.01,1e-03;1e-02,2,4.5,100,300,300,1e-06,4002,0.09881481481481481,2851,12,0.0029985007496251873,0,0.6243634711561383,0.5265243538913958,0.843297819644104,high_r50,1,1,178,5.18669409108972e-07
bridge_gpu_medium,23,0.2,1e-12,0.001,1e-03;1e-02,0.01,1e-03;1e-02,2,4.5,100,300,300,1e-06,8223,0.20303703703703704,3502,53,0.006445336251976164,0,0.354746215792371,0.35445562738251235,0.9991808555048021,high_r50,1,1,165,8.213026539107537e-07
bridge_gpu_medium,23,0.35,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,14373,0.35488888888888886,1720,7345,0.5110276212342587,0,0.10855681045503959,0.09019113920608822,0.8308197231295977,high_r50,1,1,140,8.90842935161571e-07
