preset,seed,solid_probability,baseline_rho_min,raised_rho_min,raised_rho_mins,recommended_rho_min,attempted_rho_mins,n_floor_attempts,penal,probe_iters,restart,maxiter,tol,stack_variant,n_levels,fine_smoother,smoother_type,cycle_type,coarse_correction_policy,root_local_correction_mode,root_local_correction_inner_steps,root_local_correction_inner_restart,inner_krylov_steps,inner_krylov_restart,solid_count,solid_fraction,n_components,largest_component,largest_fraction_of_solid,support_to_load_patch_components,probe_r50,probe_r100,probe_r100_over_r50,probe_setup_time_s,probe_solve_time_s,probe_gpu_used_mb_after_solve,probe_cupy_pool_used_mb_after_solve,trigger,predicted_raise_floor,severity_jump_triggered,severity_jump_r50_threshold,severity_jump_rho_min,post_solve_fallback_triggered,detector_false_keep,solve_converged,solver_reported_converged,solve_iters,solve_final_rel_residual,selected_setup_time_s,selected_solve_time_s,selected_gpu_used_mb_after_solve,selected_cupy_pool_used_mb_after_solve,selected_cupy_pool_total_mb_after_solve,failed_ladder_setup_time_s,failed_ladder_solve_time_s,recorded_policy_time_s
bridge_gpu_medium,43,0.1,1e-12,0.001,1e-03;1e-02,0.01,1e-12;1e-03;1e-02,3,4.5,100,300,300,1e-06,fixed_linear_preconditioner,4,fp64,chebyshev,v,none,none,20,20,10,10,4070,0.10049382716049382,2926,10,0.002457002457002457,0,0.9993054083967257,0.9983862506665117,0.9990802033867817,4.198333200067282,25.05236920004245,2782.461952,591.133184,keep,0,0,0.0,0.01,1,1,0,0,300,0.9930905118154961,0.03374930005520582,71.88036869990174,3134.783488,591.45728,1312.357888,0.09348640008829534,197.79991589987185,299.0582227000268
bridge_gpu_medium,43,0.2,1e-12,0.001,1e-03;1e-02,0.01,1e-12;1e-03;1e-02,3,4.5,100,300,300,1e-06,fixed_linear_preconditioner,4,fp64,chebyshev,v,none,none,20,20,10,10,8171,0.2017530864197531,3692,33,0.004038673356994248,0,0.9826586541369058,0.9713216026379443,0.9884628793007282,0.03188450005836785,29.326269899960607,3134.783488,591.133184,keep,0,0,0.0,0.01,1,1,0,0,300,0.9867038211325869,0.031532600056380033,53.81906580005307,3134.783488,591.45728,1312.357888,0.08776470005977899,153.46838770015165,236.76490520033985
