case_type,rho_min,n_cases,max_abs_relative_compliance_change,mean_abs_relative_compliance_change,mean_iteration_ratio_vs_reference,mean_solve_time_ratio_vs_reference
density,0.001,3,0.0017123592542261762,0.0010258531683297765,0.861904761904762,0.7347417770508479
density,0.01,3,0.016266076076121374,0.009743126910973574,0.6297619047619047,0.41521894648078833
random,0.001,2,0.02792444844755713,0.027600914102827896,0.7016956715751896,0.5703260168984998
random,0.01,2,0.18644142140564135,0.185392207993044,0.7500371857801577,0.490429491859126
all,0.001,5,0.02792444844755713,0.011655877542129022,0.7978211257729331,0.6689754729899087
all,0.01,5,0.18644142140564135,0.08000275934380176,0.6778720171692059,0.4453031646321234
