preset,density_path,density_name,n_elem,density_min,density_max,density_mean,density_grayness,baseline_rho_min,raised_rho_mins,recommended_rho_min,attempted_rho_mins,n_floor_attempts,penal,probe_iters,restart,maxiter,tol,solid_count,solid_fraction,n_components,largest_component,largest_fraction_of_solid,probe_r50,probe_r100,probe_r100_over_r50,probe_setup_time_s,probe_solve_time_s,probe_gpu_used_mb_after_solve,probe_cupy_pool_used_mb_after_solve,trigger,predicted_raise_floor,solve_converged,solver_reported_converged,solve_iters,solve_final_rel_residual,selected_setup_time_s,selected_solve_time_s,selected_gpu_used_mb_after_solve,selected_cupy_pool_used_mb_after_solve,selected_cupy_pool_total_mb_after_solve,failed_ladder_setup_time_s,failed_ladder_solve_time_s,recorded_policy_time_s
bridge_gpu_500k,experiments\paper2\runs\B500_MF\rho_best.npy,B500_MF,514500,3.6593630812715405e-09,1.0,0.3000001402043609,0.0009429434222344257,1e-12,1e-03;1e-02,0.01,1e-03;1e-02,2,4.5,100,300,300,1e-06,154325,0.2999514091350826,1,154325,1.0,0.0785587635505538,0.041014694724893025,0.5220893617871089,0.6347688999958336,54.38152779999655,14526.447616,7965.48352,high_r50,1,1,1,263,7.548066642924718e-07,0.135237499998766,91.26670179999928,18945.14688,7965.48352,17196.32384,0.17738529999769526,141.10937950000516,287.7050007999933
bridge_gpu_500k,experiments\paper2\runs\B500_MF\rho_final.npy,B500_MF,514500,3.6593630812715405e-09,1.0,0.3000001402043609,0.0009429434222344257,1e-12,1e-03;1e-02,0.01,1e-03;1e-02,2,4.5,100,300,300,1e-06,154325,0.2999514091350826,1,154325,1.0,0.07855876355359263,0.04099671051040569,0.5218604348633595,0.13574939999671187,53.596873499998765,18945.14688,7965.48352,high_r50,1,1,1,262,9.969350708389432e-07,0.1362684999985504,89.1571008999963,18945.14688,7965.48352,17196.32384,0.1351358000028995,139.2176152000029,282.37874329999613
