density_name,density_path,phase,rho_min,iter,rel_residual
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,1,0.011188803757891594
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,2,0.007986317218927135
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,3,0.0068276970624722225
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,4,0.005934577195771202
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,5,0.00536682795398018
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,6,0.00491953588487183
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,7,0.004640938030591218
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,8,0.004418741727323666
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,9,0.004216046126372565
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,10,0.00405398260642656
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,11,0.0039014784871509796
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,12,0.0037655488286962926
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,13,0.0036125967850460516
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,14,0.0035062932785946553
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,15,0.0033536233931473467
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,16,0.003145440178182849
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,17,0.002832771869999379
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,18,0.002581342016251722
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,19,0.0023209348677763406
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,20,0.0022045765276754174
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,21,0.002092489542860038
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,22,0.002058392305515472
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,23,0.00201852077453741
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,24,0.001998071905544805
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,25,0.001968019404530497
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,26,0.001947382547229993
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,27,0.001914396749925557
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,28,0.0018678239629342027
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,29,0.0017504544284654966
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,30,0.001639828491537882
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,31,0.0014476455509895314
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,32,0.0012350785100995441
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,33,0.0010030949991023668
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,34,0.0008102443337326258
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,35,0.0005923748619883664
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,36,0.0004407482012625284
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,37,0.00032942495660097387
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,38,0.00024689637803064545
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,39,0.00016871766790352408
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,40,0.00012345312970675457
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,41,9.046875386996235e-05
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,42,5.1350115175872476e-05
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,43,2.5303838852433952e-05
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,44,1.43787608526304e-05
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,45,9.009749331813194e-06
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,46,5.251815999885198e-06
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,47,3.891826156014083e-06
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,48,2.4320961241078085e-06
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,49,1.2931268086779607e-06
C1M_MF,experiments\paper2\runs\C1M_MF\rho_final.npy,recommended_solve,1e-12,50,6.539608366084466e-07
