preset,density_path,density_name,n_elem,density_min,density_max,density_mean,density_grayness,baseline_rho_min,raised_rho_mins,recommended_rho_min,attempted_rho_mins,n_floor_attempts,penal,probe_iters,restart,maxiter,tol,solid_count,solid_fraction,n_components,largest_component,largest_fraction_of_solid,probe_r50,probe_r100,probe_r100_over_r50,probe_setup_time_s,probe_solve_time_s,probe_gpu_used_mb_after_solve,probe_cupy_pool_used_mb_after_solve,trigger,predicted_raise_floor,solve_converged,solver_reported_converged,solve_iters,solve_final_rel_residual,selected_setup_time_s,selected_solve_time_s,selected_gpu_used_mb_after_solve,selected_cupy_pool_used_mb_after_solve,selected_cupy_pool_total_mb_after_solve,failed_ladder_setup_time_s,failed_ladder_solve_time_s,recorded_policy_time_s
torsion_gpu_500k,experiments\paper2\runs\T500_MF\rho_best.npy,T500_MF,499125,1.4118706204158473e-12,1.0,0.24999999808628273,1.0011330845967211e-05,1e-12,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,124780,0.24999749561733034,1,124780,1.0,9.552284556775098e-06,9.923016803200505e-07,0.10388108461616609,0.6061157000003732,45.83907529999851,13878.427648,7524.93824,keep,0,1,1,87,9.923020834595787e-07,0.15737559999979567,44.55993640000088,16063.660032,7524.93824,14352.747008,0.0,0.0,91.16250299999956
torsion_gpu_500k,experiments\paper2\runs\T500_MF\rho_final.npy,T500_MF,499125,1.4118706204158473e-12,1.0,0.24999999808628273,1.0011330845967211e-05,1e-12,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,124780,0.24999749561733034,1,124780,1.0,9.552284556738046e-06,9.923031566197363e-07,0.10388123916595217,0.15723910000087926,44.65594570000394,18248.892416,7524.93824,keep,0,1,1,87,9.923028473411324e-07,0.11969050000334391,46.58970859999681,18248.892416,7524.93824,16536.247808,0.0,0.0,91.52258390000497
