run_id,preset,rho_min,iteration,max_iter,compliance,grayness,used_surrogate,uncertainty,beta,change,penal,rmin,move,emin,cg_iters,solver_true_rel_residual,selected_rho_min,policy_trigger,policy_fallback_used,policy_attempted_rho_mins,policy_probe_r50,policy_probe_r100,policy_probe_true_rel_residual,vram_used_gb
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,16,40,3.3802923359707187,0.4622930574708537,False,0.0,4.0,0.11063589065474444,3.5,1.4,0.15,1e-12,16,6.205324966332914e-07,1e-12,probe_converged_keep,0,1e-12,6.205324964718965e-07,6.205324964718965e-07,6.205324966332914e-07,3.34716796875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,17,40,21.413817518958098,0.27269169767599916,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,52,6.605640298294535e-07,0.001,high_r50,0,1e-12;1e-03,0.25417048856263297,0.15995749410496773,0.1599574941046826,3.34716796875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,18,40,6.053655122798684,0.3586596115549407,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,50,5.975584547531787e-07,0.001,high_r50,0,1e-12;1e-03,0.08036235270794431,0.044331533778683395,0.04433153377870067,3.34716796875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,19,40,4.2774855608625995,0.29626697819271847,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,52,8.266241545715518e-07,0.001,high_r50,0,1e-12;1e-03,0.06527661089346262,0.006915991384704896,0.006915991384729448,3.34716796875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,20,40,3.5523171182698166,0.19032693767849243,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,52,9.563574736769098e-07,0.001,high_r50,0,1e-12;1e-03,0.049289846237527066,0.01913923138741141,0.0191392313873897,3.34716796875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,21,40,3.2207475687762828,0.11391148114964347,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,51,8.615153128763887e-07,0.001,high_r50,0,1e-12;1e-03,0.07545979708172515,0.026117104998104976,0.026117104998123565,3.34716796875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,22,40,3.098070557790066,0.07457021763532484,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,56,9.310013370895071e-07,0.001,high_r50,0,1e-12;1e-03,0.061172359305017264,0.021121000301883804,0.021121000301846236,3.34716796875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,23,40,3.0483093519360582,0.057565338362454206,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,54,9.839574161105005e-07,0.001,high_r50,0,1e-12;1e-03,0.05838437605254168,0.017032721641113937,0.017032721641085987,3.34716796875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,24,40,3.024428385822942,0.0499909291635679,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,52,7.94877402110092e-07,0.001,high_r50,0,1e-12;1e-03,0.08005403658326735,0.03281341290682679,0.03281341290679264,3.34716796875
cantilever_gpu_medium_guarded_adaptive,cantilever_gpu_medium,1e-12,25,40,3.009731386661052,0.04552188788780716,False,0.0,4.0,0.15000000000000002,3.5,1.35,0.15,1e-12,58,7.079408123692362e-07,0.001,high_r50,0,1e-12;1e-03,0.09392067497714092,0.05027911850894565,0.050279118508934635,3.34716796875
