penal,rows,unique_cases,passes,predicted_raises,detector_false_keeps,mean_time_s,median_time_s,max_time_s,mean_iters,max_iters,recommended_floor_counts,failures
3.0,12,12,12,9,0,53.10203921666667,52.600449850000004,114.7251059,116.75,199,1e-12:3; 1e-03:7; 1e-02:2,0
4.0,12,12,12,9,0,53.145952325,49.691324300000005,116.5291407,116.91666666666667,199,1e-12:3; 1e-03:7; 1e-02:2,0
4.5,12,12,12,9,0,49.547846625,42.75235169999998,114.7105327,116.91666666666667,199,1e-12:3; 1e-03:7; 1e-02:2,0
