case_id,preset,seed,solid_probability,rho_min,reference_rho_min,penal,n_elem,solid_count,solid_fraction,sensitivity_convention,setup_time_s,solve_time_s,solve_converged,solver_reported_converged,solve_iters,solve_final_rel_residual,compliance,reference_compliance,rel_compliance_change,rel_dc_l2_all,rel_dc_l2_solid,rel_dc_l2_void,rel_dc_linf_all,rel_dc_linf_solid,pearson_dc_solid,history_len,source_dir
cantilever_gpu_medium_s41_q0.18,cantilever_gpu_medium,41,0.18,1e-12,1e-12,4.5,64000,11443,0.178796875,floor_substituted_density_derivative,16.1951936,50.05634880000001,1,1,266,9.130620313958616e-07,917.4999949966996,917.4999949966996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,267,cantilever_s41
cantilever_gpu_medium_s41_q0.18,cantilever_gpu_medium,41,0.18,0.001,1e-12,4.5,64000,11443,0.178796875,floor_substituted_density_derivative,0.0345631999999938,13.510239299999997,1,1,83,7.168920883748236e-07,158.3301720499551,917.4999949966996,-0.8274330540453849,0.988271828865942,0.988271828865942,5.639772975535309e+25,0.9982647740025596,0.9982647740025596,0.2202741757000213,84,cantilever_s41
cantilever_gpu_medium_s41_q0.18,cantilever_gpu_medium,41,0.18,0.01,1e-12,4.5,64000,11443,0.178796875,floor_substituted_density_derivative,0.0210513999999903,6.766776300000004,1,1,48,5.037628876121914e-07,41.84689358850935,917.4999949966996,-0.9543903064668028,0.9977209750840246,0.9977209750840194,1.035534511141072e+28,0.9999764228849142,0.9999764228849142,0.1038542440025216,49,cantilever_s41
cantilever_gpu_medium_s41_q0.2,cantilever_gpu_medium,41,0.2,1e-12,1e-12,4.5,64000,12714,0.19865625,floor_substituted_density_derivative,0.0209733999999883,23.464813300000003,1,1,130,9.014843662243456e-07,192.55026633629024,192.55026633629024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,131,cantilever_s41
cantilever_gpu_medium_s41_q0.2,cantilever_gpu_medium,41,0.2,0.001,1e-12,4.5,64000,12714,0.19865625,floor_substituted_density_derivative,0.0237467999999978,10.134536600000004,1,1,67,6.027422752007232e-07,91.6270130068813,192.55026633629024,-0.5241397752893566,0.7421976316915259,0.7421976316915261,1.5285218771502977e+25,0.7012284194996181,0.7012284194996181,0.880185122522908,68,cantilever_s41
cantilever_gpu_medium_s41_q0.2,cantilever_gpu_medium,41,0.2,0.01,1e-12,4.5,64000,12714,0.19865625,floor_substituted_density_derivative,0.0210679000000055,5.422314799999981,1,1,45,3.173849843627957e-07,29.603867878651062,192.55026633629024,-0.846253820148201,0.9405071981645906,0.9405071981644756,2.0885978220331336e+27,0.9435753745136004,0.9435753745136004,0.5036305713214856,46,cantilever_s41
cantilever_gpu_medium_s41_q0.25,cantilever_gpu_medium,41,0.25,1e-12,1e-12,4.5,64000,15985,0.249765625,floor_substituted_density_derivative,0.0206546000000003,10.577393099999997,1,1,60,6.27926858943526e-07,43.54160240810787,43.54160240810787,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,61,cantilever_s41
cantilever_gpu_medium_s41_q0.25,cantilever_gpu_medium,41,0.25,0.001,1e-12,4.5,64000,15985,0.249765625,floor_substituted_density_derivative,0.0225938000000098,6.953509200000013,1,1,46,3.96781420578203e-07,36.84419776960114,43.54160240810787,-0.1538162186989151,0.2569872404593837,0.2569872404593837,1.456959946155157e+25,0.3157654964915531,0.3157654964915531,0.9943360816075956,47,cantilever_s41
cantilever_gpu_medium_s41_q0.25,cantilever_gpu_medium,41,0.25,0.01,1e-12,4.5,64000,15985,0.249765625,floor_substituted_density_derivative,0.0205832000000043,4.696826200000004,1,1,39,3.730582694641095e-07,19.83297275930433,43.54160240810787,-0.544505216564762,0.6947775263533059,0.6947775263524082,6.71231900204899e+27,0.8347421149125834,0.8347421149125834,0.8810581491227139,40,cantilever_s41
cantilever_gpu_medium_s41_q0.3,cantilever_gpu_medium,41,0.3,1e-12,1e-12,4.5,64000,19153,0.299265625,floor_substituted_density_derivative,0.0212944000000163,6.00798420000001,1,1,34,9.485899744268904e-07,23.58864850375621,23.58864850375621,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,35,cantilever_s41
cantilever_gpu_medium_s41_q0.3,cantilever_gpu_medium,41,0.3,0.001,1e-12,4.5,64000,19153,0.299265625,floor_substituted_density_derivative,0.0208265999999923,4.884211499999992,1,1,33,9.064747072651124e-07,21.558062135256865,23.58864850375621,-0.0860832009165764,0.209187747991061,0.209187747991061,4.918932349571945e+24,0.2025145329996356,0.2025145329996356,0.9969961187817096,34,cantilever_s41
