preset,seed,solid_probability,baseline_rho_min,raised_rho_min,raised_rho_mins,recommended_rho_min,attempted_rho_mins,n_floor_attempts,penal,probe_iters,restart,maxiter,tol,solid_count,solid_fraction,n_components,largest_component,largest_fraction_of_solid,support_to_load_patch_components,probe_r50,probe_r100,probe_r100_over_r50,probe_setup_time_s,probe_solve_time_s,probe_gpu_used_mb_after_solve,probe_cupy_pool_used_mb_after_solve,trigger,predicted_raise_floor,solve_converged,solver_reported_converged,solve_iters,solve_final_rel_residual,selected_setup_time_s,selected_solve_time_s,selected_gpu_used_mb_after_solve,selected_cupy_pool_used_mb_after_solve,selected_cupy_pool_total_mb_after_solve,failed_ladder_setup_time_s,failed_ladder_solve_time_s,recorded_policy_time_s
cantilever_gpu_medium,43,0.12,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,7691,0.120171875,4974,14,0.0018203094526069432,0,0.17374579423677908,0.14731944279500597,0.8479022093291103,0.022875399998156354,18.601429599999392,3862.429696,991.540736,high_r50,1,1,1,119,6.047865241337161e-07,0.021212300001934636,19.200746200003778,3862.429696,991.028736,2177.98656,0.0,0.0,37.84626350000326
cantilever_gpu_medium,43,0.15,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,9568,0.1495,5452,21,0.0021948160535117055,0,0.17228793458881647,0.1722589950595917,0.9998320281144826,0.021253500002785586,18.548808399995323,3862.429696,991.540736,high_r50,1,1,1,104,6.091975893693142e-07,0.02179759999853559,16.799622099999397,3862.429696,991.028736,2177.98656,0.0,0.0,35.39148159999604
cantilever_gpu_medium,43,0.18,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,11505,0.179765625,5664,27,0.002346805736636245,0,0.21301678202435864,0.2130125587131482,0.999980173809921,0.021263299997372087,18.940759199998865,3862.429696,991.540736,high_r50,1,1,1,80,7.338768550257724e-07,0.02283950000128243,12.953513399996154,3862.429696,991.028736,2177.98656,0.0,0.0,31.938375399993674
cantilever_gpu_medium,43,0.2,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,12785,0.199765625,5648,50,0.003910833007430583,0,0.19046569424896356,0.19043993255489022,0.9998647436527879,0.02265550000447547,19.65242930000386,3862.429696,991.540736,high_r50,1,1,1,69,7.980366453836819e-07,0.021818499997607432,11.166943199998059,3862.429696,991.028736,2177.98656,0.0,0.0,30.863846500004
cantilever_gpu_medium,43,0.25,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,15949,0.249203125,5105,79,0.004953288607436203,0,0.05080271209146581,0.0012629516319995688,0.024859925385986,0.0240330999949947,20.42829079999501,3862.429696,991.540736,high_r50,1,1,1,47,7.960449478572767e-07,0.025707699998747557,8.101469000001089,3862.429696,991.028736,2177.98656,0.0,0.0,28.579500599989842
cantilever_gpu_medium,43,0.3,1e-12,0.001,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,19072,0.298,4148,575,0.030148909395973155,0,3.922454889017477e-07,3.922454889017477e-07,1.0,0.02179959999921266,7.0082700999992085,3862.429696,991.540736,keep,0,1,1,38,3.9224548899191214e-07,0.021209900005487725,7.007351300002483,3862.429696,991.028736,2177.98656,0.0,0.0,14.058630900006392
cantilever_gpu_medium,43,0.35,1e-12,0.001,1e-03;1e-02,1e-12,1e-12,1,4.5,100,300,300,1e-06,22217,0.347140625,2884,13979,0.6292028626727281,0,3.9765129371179487e-07,3.9765129371179487e-07,1.0,0.02142249999451451,5.531386699993163,3862.429696,991.540736,keep,0,1,1,30,3.9765129469495125e-07,0.020755000005010515,5.5656885000062175,3862.429696,991.028736,2177.98656,0.0,0.0,11.139252699998906
cantilever_gpu_medium,47,0.08,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,5142,0.08034375,3916,10,0.0019447685725398677,0,0.058377493483857255,0.022877865129240622,0.3918952966962668,0.021089100002427585,19.151613399997586,3862.429696,991.540736,high_r50,1,1,1,122,9.135763750438631e-07,0.02123120000032941,20.539582600002177,3862.429696,991.028736,2177.98656,0.0,0.0,39.73351630000252
cantilever_gpu_medium,47,0.1,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,6406,0.10009375,4492,13,0.0020293474867311896,0,0.09598330462787436,0.041946568186000475,0.43701942070682614,0.023395299998810515,19.355894599997555,3862.429696,991.540736,high_r50,1,1,1,123,6.572344092723737e-07,0.021261699999740813,20.335494799997832,3862.429696,991.028736,2177.98656,0.0,0.0,39.73604639999394
cantilever_gpu_medium,47,0.12,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,7636,0.1193125,4972,15,0.001964379256155055,0,0.20675516872922528,0.09871421190531887,0.4774449534299135,0.02348110000457382,19.516840399999637,3862.429696,991.540736,high_r50,1,1,1,118,8.747578108774634e-07,0.021227299999736715,19.775495799993223,3862.429696,991.028736,2177.98656,0.0,0.0,39.33704459999717
