preset,seed,solid_probability,baseline_rho_min,raised_rho_min,raised_rho_mins,recommended_rho_min,attempted_rho_mins,n_floor_attempts,penal,probe_iters,restart,maxiter,tol,solid_count,solid_fraction,n_components,largest_component,largest_fraction_of_solid,support_to_load_patch_components,probe_r50,probe_r100,probe_r100_over_r50,probe_setup_time_s,probe_solve_time_s,probe_gpu_used_mb_after_solve,probe_cupy_pool_used_mb_after_solve,trigger,predicted_raise_floor,severity_jump_triggered,severity_jump_r50_threshold,severity_jump_rho_min,post_solve_fallback_triggered,detector_false_keep,solve_converged,solver_reported_converged,solve_iters,solve_final_rel_residual,selected_setup_time_s,selected_solve_time_s,selected_gpu_used_mb_after_solve,selected_cupy_pool_used_mb_after_solve,selected_cupy_pool_total_mb_after_solve,failed_ladder_setup_time_s,failed_ladder_solve_time_s,recorded_policy_time_s,source_dir,case_key
bridge_gpu_medium,43,0.3,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,12224,0.3018271604938272,2673,402,0.0328861256544502,0,0.1980134900508526,0.1970280605680648,0.9950234224823032,0.0203174000000103,19.05387350000001,3059.22048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,177,8.310050070567755e-07,0.0208135000000311,30.554466000000048,3059.22048,597.700096,1353.122304,0.0,0.0,49.6494704000001,bridge_s43,bridge_gpu_medium|43|300000
bridge_gpu_medium,43,0.35,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,14201,0.350641975308642,1835,5234,0.3685655939722554,0,0.1537819334926546,0.1419140631299005,0.922826627984093,0.0163216999999917,18.78832829999999,3059.22048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,150,6.437588534155824e-07,0.0193205000000489,26.004006199999992,3059.22048,597.700096,1353.122304,0.0,0.0,44.82797670000002,bridge_s43,bridge_gpu_medium|43|350000
bridge_gpu_medium,47,0.1,1e-12,0.001,1e-03;1e-02,0.01,1e-02,1,4.5,100,300,300,1e-06,4029,0.0994814814814814,2855,11,0.0027302060064532,0,0.6332723553385837,0.5280507590230541,0.8338446397849277,17.5421272,19.8927257,2673.344512,597.700096,high_r50,1,1,0.5,0.01,0,0,1,1,184,5.738162890172176e-07,0.0198836,26.288777399999997,2849.50528,597.700096,1147.849216,0.0,0.0,63.74351389999999,bridge_s47,bridge_gpu_medium|47|100000
bridge_gpu_medium,47,0.15,1e-12,0.001,1e-03;1e-02,0.01,1e-02,1,4.5,100,300,300,1e-06,5982,0.1477037037037037,3472,17,0.0028418589100635,0,0.5349209754359399,0.530236151615517,0.9912420263262158,0.0236943000000025,19.0933821,3025.666048,597.700096,high_r50,1,1,0.5,0.01,0,0,1,1,184,5.535961761165837e-07,0.0159632000000016,26.3087996,3025.666048,597.700096,1322.01728,0.0,0.0,45.4418392,bridge_s47,bridge_gpu_medium|47|150000
bridge_gpu_medium,47,0.2,1e-12,0.001,1e-03;1e-02,0.01,1e-03;1e-02,2,4.5,100,300,300,1e-06,7964,0.1966419753086419,3581,38,0.0047714716223003,0,0.4097225135376429,0.4072426463464052,0.993947447090896,0.019431499999996,18.989842399999983,3025.666048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,170,9.098209149974028e-07,0.0221633000000167,24.200846299999995,3059.22048,598.024192,1353.122304,0.0183097000000032,53.99811120000001,97.2487044,bridge_s47,bridge_gpu_medium|47|200000
bridge_gpu_medium,47,0.25,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,9940,0.2454320987654321,3290,113,0.0113682092555332,0,0.2907574593288173,0.2867807401227047,0.9863228987648588,0.0318842999999731,19.32913830000001,3059.22048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,260,6.588758837791608e-07,0.0175336999999728,44.25362980000003,3059.22048,597.700096,1353.122304,0.0,0.0,63.632186099999984,bridge_s47,bridge_gpu_medium|47|250000
bridge_gpu_medium,47,0.3,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,11979,0.2957777777777777,2641,351,0.0293012772351615,0,0.2090805295337825,0.2084336961029038,0.9969062952331283,0.0186506000000008,18.288310199999955,3059.22048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,200,8.493451531633559e-07,0.0181048000000032,32.95937760000004,3059.22048,597.700096,1353.122304,0.0,0.0,51.2844432,bridge_s47,bridge_gpu_medium|47|300000
bridge_gpu_medium,47,0.35,1e-12,0.001,1e-03;1e-02,0.001,1e-03,1,4.5,100,300,300,1e-06,14042,0.346716049382716,1838,6053,0.4310639510041305,0,0.1869384549509986,0.1841327430637095,0.9849912534688244,0.0163520000000403,18.1259235,3059.22048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,161,8.737131879941202e-07,0.0196167999999943,26.0940215,3059.22048,597.700096,1353.122304,0.0,0.0,44.25591380000003,bridge_s47,bridge_gpu_medium|47|350000
bridge_gpu_medium,53,0.1,1e-12,0.001,1e-03;1e-02,0.01,0.01,1,4.5,100,300,300,1e-06,3999,0.0987407407407407,2881,16,0.0040010002500625,0,0.630689073577342,0.5259874277887245,0.8339884894552912,16.7853605,19.1980966,2673.344512,597.700096,high_r50,1,1,0.5,0.01,0,0,1,1,89,7.839636754929899e-07,0.0210507999999975,11.6447925,2849.50528,597.700096,1147.849216,0.0,0.0,47.6493004,bridge_s53,bridge_gpu_medium|53|100000
bridge_gpu_medium,53,0.15,1e-12,0.001,1e-03;1e-02,0.01,0.01,1,4.5,100,300,300,1e-06,6047,0.1493086419753086,3552,29,0.004795766495783,0,0.5513284033209604,0.5485578123599854,0.9949746993909868,0.0202236000000013,18.4470145,3025.666048,597.700096,high_r50,1,1,0.5,0.01,0,0,1,1,87,3.649116759038245e-07,0.0349018,11.707391400000006,3025.666048,597.700096,1322.01728,0.0,0.0,30.20953130000001,bridge_s53,bridge_gpu_medium|53|150000
bridge_gpu_medium,53,0.2,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,8024,0.1981234567901234,3662,47,0.0058574277168494,0,0.3742588268207943,0.3733673663928631,0.9976180643874084,0.0178453999999987,17.747731799999997,3025.666048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,142,6.285086689158958e-07,0.0183061999999978,22.48956680000001,3025.666048,597.700096,1322.01728,0.0,0.0,40.2734502,bridge_s53,bridge_gpu_medium|53|200000
bridge_gpu_medium,53,0.25,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,10085,0.2490123456790123,3318,101,0.0100148735746157,0,0.2515166193881483,0.251149748630017,0.998541365739474,0.0180091999999945,18.5023535,3025.666048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,97,4.5778713046053043e-07,0.0199069999999892,15.053478600000004,3025.666048,597.700096,1322.01728,0.0,0.0,33.59374829999999,bridge_s53,bridge_gpu_medium|53|250000
bridge_gpu_medium,53,0.3,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,12085,0.2983950617283951,2662,491,0.0406288787753413,0,0.2112763440407402,0.1755516552183519,0.8309101334340607,0.0225225000000079,17.837450399999994,3025.666048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,77,5.769306319089529e-07,0.0199250000000006,11.928385600000013,3025.666048,597.700096,1322.01728,0.0,0.0,29.808283500000016,bridge_s53,bridge_gpu_medium|53|300000
bridge_gpu_medium,53,0.35,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,14174,0.3499753086419753,1839,8597,0.6065330887540568,1,0.1879024913523871,0.1676296473034571,0.8921097644686844,0.0175732000000152,17.844448900000003,3025.666048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,60,9.321207306686414e-07,0.0160552000000109,9.014755799999987,3025.666048,597.700096,1322.01728,0.0,0.0,26.89283310000002,bridge_s53,bridge_gpu_medium|53|350000
bridge_gpu_medium,59,0.1,1e-12,0.001,1e-03;1e-02,0.01,0.01,1,4.5,100,300,300,1e-06,4070,0.1004938271604938,2895,9,0.0022113022113022,0,0.5061146383262808,0.4042292931557832,0.7986911710211899,16.5871229,18.730955400000003,2673.344512,597.700096,high_r50,1,1,0.5,0.01,0,0,1,1,88,5.822144014344788e-07,0.021935599999999,11.648777200000003,2849.50528,597.700096,1147.849216,0.0,0.0,46.98879110000001,bridge_s59,bridge_gpu_medium|59|100000
bridge_gpu_medium,59,0.15,1e-12,0.001,1e-03;1e-02,0.01,0.01,1,4.5,100,300,300,1e-06,6091,0.150395061728395,3531,23,0.0037760630438351,0,0.5508843150342114,0.5464717428835877,0.9919900203541832,0.0251387000000065,18.1371896,3025.666048,597.700096,high_r50,1,1,0.5,0.01,0,0,1,1,85,3.2558926416663824e-07,0.0229333999999994,11.1875692,3025.666048,597.700096,1322.01728,0.0,0.0,29.372830900000004,bridge_s59,bridge_gpu_medium|59|150000
bridge_gpu_medium,59,0.2,1e-12,0.001,1e-03;1e-02,0.001,0.001,1,4.5,100,300,300,1e-06,8133,0.2008148148148148,3566,40,0.0049182343538669,0,0.3978420071586875,0.3962232148325916,0.9959310673660204,0.0200328000000098,18.20661120000001,3025.666048,597.700096,high_r50,1,0,0.5,0.01,0,0,1,1,111,6.323818394795193e-07,0.0161881000000079,17.7775599,3025.666048,597.700096,1322.01728,0.0,0.0,36.02039200000003,bridge_s59,bridge_gpu_medium|59|200000
