seed,solid_probability,phase,rho_min,iter,rel_residual
41,0.1,probe,1e-12,0,1.0
41,0.1,probe,1e-12,1,0.6175092602445429
41,0.1,probe,1e-12,2,0.617321819337682
41,0.1,probe,1e-12,3,0.616827874018863
41,0.1,probe,1e-12,4,0.6167101742246961
41,0.1,probe,1e-12,5,0.616580847930747
41,0.1,probe,1e-12,6,0.6164523063052529
41,0.1,probe,1e-12,7,0.6164414963570108
41,0.1,probe,1e-12,8,0.6163990123397427
41,0.1,probe,1e-12,9,0.6163895316629843
41,0.1,probe,1e-12,10,0.6163881948365965
41,0.1,probe,1e-12,11,0.6163725300988544
41,0.1,probe,1e-12,12,0.6163538491619046
41,0.1,probe,1e-12,13,0.6163480908466972
41,0.1,probe,1e-12,14,0.61634751513761
41,0.1,probe,1e-12,15,0.616347420321099
41,0.1,probe,1e-12,16,0.6163472708383388
41,0.1,probe,1e-12,17,0.6163464816921287
41,0.1,probe,1e-12,18,0.6163426320475672
41,0.1,probe,1e-12,19,0.6163309251574453
41,0.1,probe,1e-12,20,0.6163309027212601
41,0.1,probe,1e-12,21,0.6163283883636409
41,0.1,probe,1e-12,22,0.6163133495295378
41,0.1,probe,1e-12,23,0.6163128710320959
41,0.1,probe,1e-12,24,0.6163100751792794
41,0.1,probe,1e-12,25,0.6163100293145856
41,0.1,probe,1e-12,26,0.6162951466410106
41,0.1,probe,1e-12,27,0.6162686062837854
41,0.1,probe,1e-12,28,0.6162009098294304
41,0.1,probe,1e-12,29,0.6160011151350949
41,0.1,probe,1e-12,30,0.6156992929549107
41,0.1,probe,1e-12,31,0.6153790279924324
41,0.1,probe,1e-12,32,0.6147551468373966
41,0.1,probe,1e-12,33,0.6120827024755157
41,0.1,probe,1e-12,34,0.6064641374167173
41,0.1,probe,1e-12,35,0.6031823571203447
41,0.1,probe,1e-12,36,0.5981215150389004
41,0.1,probe,1e-12,37,0.5811565825072253
41,0.1,probe,1e-12,38,0.5532917053955414
41,0.1,probe,1e-12,39,0.5321463071423868
41,0.1,probe,1e-12,40,0.516514230620287
41,0.1,probe,1e-12,41,0.5097808931925099
41,0.1,probe,1e-12,42,0.5071071374064312
41,0.1,probe,1e-12,43,0.5061893721951612
41,0.1,probe,1e-12,44,0.5061444624786674
41,0.1,probe,1e-12,45,0.5061424085020426
41,0.1,probe,1e-12,46,0.5061423906899141
41,0.1,probe,1e-12,47,0.50614159173633
41,0.1,probe,1e-12,48,0.5061377851112269
41,0.1,probe,1e-12,49,0.5061370491942733
41,0.1,probe,1e-12,50,0.5061224951962364
41,0.1,probe,1e-12,51,0.5061214835455677
41,0.1,probe,1e-12,52,0.5061199088396
41,0.1,probe,1e-12,53,0.5061198544907213
