file,bytes,sha256,shape,dtype,min,mean
C64_MF__rho_final.npy,512128,7d928d2f1b3cdc166d5ed713dd7991af2051a79c9424de4259c7130a058e4dcc,"(64000,)",float64,7.550e-15,0.300000
C216_MF__rho_final.npy,1728128,e63e2968832874a364733fe1085a960739833abfca68c2f143e2adc5d2206114,"(216000,)",float64,2.697e-12,0.299999
C512_MF__rho_final.npy,4096128,fe335e9d013c62e81df84caa5c5da53d6e42922e27d964699fd4c1058aeade92,"(512000,)",float64,3.906e-12,0.300000
B500_MF__rho_final.npy,4116128,f38ceb00dc776651862718024abcac37197762ebb30fb358cda291d3d6e6902c,"(514500,)",float64,3.659e-09,0.300000
Brk500_MF__rho_final.npy,4096128,a806d22cd8f18a113b380c927e5230421285a0061c2dc174bcced8ee7be53af5,"(512000,)",float64,1.637e-13,0.299983
M500_MF__rho_final.npy,4116128,595a6e9546bceab55bf9479088c492a86ef7672d5ee60fab559f20f2c24f921f,"(514500,)",float64,3.659e-09,0.499837
T500_MF__rho_final.npy,3993128,b655ad3bcd4c55f67414185190e05ec1750eb3aa2e5cb5b636a8478e2c90de58,"(499125,)",float64,1.412e-12,0.250000
Col500_MF__rho_final.npy,4000128,0ef4dc525b6c415e8221de57be10edc10c0f0a280f6ed08e405e13407bd9e9d1,"(500000,)",float64,5.964e-12,0.200000
C1M_MF__rho_final.npy,8000128,ecdf5d233b4a865ed8ccfba45425035ea6c5bd2a797593ed16e96caf8824e12f,"(1000000,)",float64,9.875e-12,0.300000
